v;concept;items_spa;cats
Justificación de protesta disruptiva ;Justificación cortes de calle;Que las personas participen en un bloqueo de calles o carreteras;Nunca (1)
Justificación de protesta disruptiva ;Justificación cortes de calle;Que las personas participen en un bloqueo de calles o carreteras;Siempre (4)
Justificación de protesta disruptiva ;Justificación cortes tomas;Que los estudiantes se tomen sus escuelas, liceos, universidades;Nunca (1)
Justificación de protesta disruptiva ;Justificación cortes tomas;Que los estudiantes se tomen sus escuelas, liceos, universidades;Siempre (4)
